int,mass
-0.4840206389137161,2000.0
-0.48423016463934165,2000.5
-0.4806729830299444,2001.0
-0.47899034210024943,2001.5
-0.47611503519363335,2002.0
-0.47311884730271175,2002.5
-0.47242833806133694,2003.0
-0.4723317689348802,2003.5
-0.47271457220946517,2004.0
-0.476704148948101,2004.5
-0.47832055455520217,2005.0
-0.4811820697816515,2005.5
-0.4837514606401359,2006.0
-0.4810049006137603,2006.5
-0.4823830965759157,2007.0
-0.47834663118527,2007.5
-0.4742991648666438,2008.0
-0.47149450133303694,2008.5
-0.4662262824750311,2009.0
-0.46518710406230357,2009.5
-0.46451788964382834,2010.0
-0.46487301483530796,2010.5
-0.4677314048618129,2011.0
-0.47092429412204406,2011.5
-0.4732240738626064,2012.0
-0.47833497657323854,2012.5
-0.48013924429053023,2013.0
-0.483279335172623,2013.5
-0.48736710285729673,2014.0
-0.487579214358528,2014.5
-0.4933910665575468,2015.0
-0.49549997568293636,2015.5
-0.49784698639868274,2016.0
-0.5016104149682099,2016.5
-0.5030746823760299,2017.0
-0.5053081846001819,2017.5
-0.5079233338388149,2018.0
-0.50810979108876,2018.5
-0.5095397599217402,2019.0
-0.5109386485304385,2019.5
-0.5081515904936154,2020.0
-0.5106179306699247,2020.5
-0.5085176499241459,2021.0
-0.5070230045479528,2021.5
-0.5068060164658773,2022.0
-0.5033744548353648,2022.5
-0.5016105324184948,2023.0
-0.4985582657658534,2023.5
-0.4932158137396978,2024.0
-0.4887187678239978,2024.5
-0.4841493026064661,2025.0
-0.4770568082917599,2025.5
-0.4761223035342087,2026.0
-0.4727309122947906,2026.5
-0.47166906202651365,2027.0
-0.473397643714532,2027.5
-0.47366805011328655,2028.0
-0.47683044327176205,2028.5
-0.4795678802180228,2029.0
-0.4806647613292241,2029.5
-0.48270696904635013,2030.0
-0.4840791271571847,2030.5
-0.4808023222085053,2031.0
-0.4815590205792132,2031.5
-0.4776879381295629,2032.0
-0.47435680290604726,2032.5
-0.47272322713951176,2033.0
-0.4696776998720812,2033.5
-0.46925138563862623,2034.0
-0.4712857929489362,2034.5
-0.4729411242797656,2035.0
-0.4770232145774733,2035.5
-0.4821372751435924,2036.0
-0.48313364329964487,2036.5
-0.48882252860194514,2037.0
-0.48976377026806894,2037.5
-0.4893990308272645,2038.0
-0.4888599665813716,2038.5
-0.48551888928271847,2039.0
-0.479809376750993,2039.5
-0.4759467852317079,2040.0
-0.46841830286102276,2040.5
-0.4620168975121611,2041.0
-0.4572960203038099,2041.5
-0.4507612924922983,2042.0
-0.44907029300638823,2042.5
-0.4483723796806404,2043.0
-0.4488421301760854,2043.5
-0.452374082419905,2044.0
-0.45765817390599156,2044.5
-0.46037875736476713,2045.0
-0.468537077920061,2045.5
-0.47206950831704736,2046.0
-0.47453508434408465,2046.5
-0.4764150090223382,2047.0
-0.47415454317909717,2047.5
-0.46719688653172536,2048.0
-0.45791929618902616,2048.5
-0.441463431489457,2049.0
-0.42334677434805706,2049.5
-0.4053461732452757,2050.0
-0.3859673451468482,2050.5
-0.3723658870859572,2051.0
-0.36451257487699484,2051.5
-0.36261476471026577,2052.0
-0.3680492402340619,2052.5
-0.37919865180098355,2053.0
-0.3906676074088716,2053.5
-0.4074521799709316,2054.0
-0.42090993441505525,2054.5
-0.4320450096029828,2055.0
-0.4410814754492025,2055.5
-0.4458357664101285,2056.0
-0.44376617976471405,2056.5
-0.4426338088042089,2057.0
-0.4361300212700975,2057.5
-0.4296542503320616,2058.0
-0.42507013126858095,2058.5
-0.4211857842439559,2059.0
-0.41956221486648054,2059.5
-0.4238217774986746,2060.0
-0.42780619707421946,2060.5
-0.43414864884969634,2061.0
-0.44212877903599873,2061.5
-0.4477533907288232,2062.0
-0.45381981430703205,2062.5
-0.4598180283324216,2063.0
-0.46254232295871556,2063.5
-0.46568631288012485,2064.0
-0.4693322869470241,2064.5
-0.4697099819168543,2065.0
-0.4724845307554402,2065.5
-0.4740555858003034,2066.0
-0.4734025968991486,2066.5
-0.4733079144555278,2067.0
-0.4730836296795314,2067.5
-0.46843382394872407,2068.0
-0.4667559692769586,2068.5
-0.4628129991946931,2069.0
-0.4578827086548537,2069.5
-0.45421776274189507,2070.0
-0.45124399331457504,2070.5
-0.4452404692624768,2071.0
-0.4443235023507988,2071.5
-0.4415291627536865,2072.0
-0.4388204796975056,2072.5
-0.4376593335112099,2073.0
-0.4373941212365969,2073.5
-0.43444845351446454,2074.0
-0.4370776957529549,2074.5
-0.4378513800220341,2075.0
-0.43971388000193257,2075.5
-0.44369886142761894,2076.0
-0.4488807680663139,2076.5
-0.4512525999501391,2077.0
-0.45882175904332834,2077.5
-0.4622862038184646,2078.0
