code,species,Imipenem,Gentamicin,Oxacillin,Fusidic acid,Tetracycline,Rifampicin,Amoxicillin-Clavulanic acid,Cefazolin,Meropenem,Ciprofloxacin,Levofloxacin,Teicoplanin,Norfloxacin,Cotrimoxazole,Tobramycin,Ampicillin-Amoxicillin,Ceftriaxone,Ceftazidime,Clindamycin,Penicillin,Cefuroxime,Cefpodoxime,Fosfomycin-Trometamol,Colistin,Erythromycin,Cefepime,Piperacillin-Tazobactam
18e02f6b-4b84-4344-9b7a-2a9cc2b5e2b6_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
e9544679-3f9d-43f6-8ce3-aac053980742_MALDI1,Candida glabrata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bfcad108-864f-4b37-83f3-d7dc94265213_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
c649f842-5926-4bb3-8aef-d411db4241f4_MALDI1,Staphylococcus capitis,R,R,R,S,S,S,R,R,R,S,-,S,-,S,-,R,R,-,R,R,R,-,-,-,R,R,R
69eca649-ec26-4f9d-9f9a-d42aa5b9ec0f_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
2132c91c-7b62-4ea4-9984-6f7fcdaed7d6_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
554d747d-77d6-4f66-b24a-dc1132943e54_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
abce6ff4-92ec-4b63-b971-4a3cc06441b0_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
0a430536-9d43-406c-9fef-0a9ffebb41f0_MALDI1,Staphylococcus capitis,R,R,R,S,S,S,R,R,R,S,-,S,-,S,-,R,R,-,R,R,R,-,-,-,R,R,R
ab900e35-1954-4201-a95e-dd0719a3a3ef_MALDI1,Gardnerella vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
51ef2973-26fd-4558-b7ac-e615fe177a18_MALDI1,Escherichia coli,S,-,-,-,-,-,R,-,S,R,R,-,-,R,S,R,S,S,-,-,-,-,-,S,-,S,R
d0404066-00ee-4cd0-bd36-76508f55b9ff_MALDI1,Bacillus vallismortis,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-
d7171f5c-cd21-4a6c-b615-f0126ebdcee5_MALDI1,Bacillus vallismortis,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-
ebd503db-4075-4d4c-abdd-f9863272341f_MALDI1,Enterococcus faecium,R,-,-,-,-,-,-,-,-,-,R,S,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-
bef564cd-ff5a-47df-9e76-594740833dad_MALDI1,Enterococcus faecium,R,-,-,-,-,-,-,-,-,-,R,S,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-
11b8a987-04e9-42be-a933-7dbcb3da84aa_MALDI1,Escherichia coli,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
392317b0-f179-4c88-9067-aeef68beed80_MALDI1,Candida glabrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
631fc7e3-350e-40b9-93bd-3e648f18cae6_MALDI1,MIX!Aeromonas veronii,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd7d3c60-67c6-41f5-81a9-7445b9587146_MALDI1,Staphylococcus aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,
061198ba-034c-4d44-974a-ca70f335aecf_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,R,I,-,-,-,-,-,S,-,R,S
6f3731fc-1249-4b83-bd40-068e3544fdaf_MALDI1,Staphylococcus epidermidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a458a97-786c-4eb1-9e07-7152ef935638_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7eaa4bd-b4f9-48b3-b5bb-a570d2a6518d_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
a48f0433-dcb8-4167-9b52-b7fae3354bda_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
9cc863cd-f4f9-4e44-a7ae-b1d7a6506822_MALDI1,Staphylococcus lugdunensis,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
ac97def1-45ae-4f5c-bedf-2e470af29682_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
455bbd57-0ca7-4eda-a095-98c1d6204b85_MALDI1,Enterobacter cloacae,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
41983d62-9e5f-4aff-bda5-2737a0c8c73d_MALDI1,Enterobacter cancerogenus,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
5e5b7e44-0995-44de-90f5-69ddfeae5d3f_MALDI1,Staphylococcus lugdunensis,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
78670af4-4285-41eb-9154-3599f34ca3fc_MALDI1,Streptococcus agalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
11ce45e3-c0ca-4d01-a740-f49f47dd061f_MALDI1,Bifidobacterium longum,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8ad07e0-c646-48a6-b901-cda98e8f7e67_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,S,S,I,R,"R(1), S(1)",R,-,-,-,R,S,S,-,"I(1), S(1)",S
