code,species,Imipenem,Gentamicin,Oxacillin,Fusidic acid,Tetracycline,Rifampicin,Amoxicillin-Clavulanic acid,Cefazolin,Meropenem,Ciprofloxacin,Levofloxacin,Teicoplanin,Norfloxacin,Cotrimoxazole,Tobramycin,Ampicillin-Amoxicillin,Ceftriaxone,Ceftazidime,Clindamycin,Penicillin,Cefuroxime,Cefpodoxime,Fosfomycin-Trometamol,Colistin,Erythromycin,Cefepime,Piperacillin-Tazobactam
6a690054-c6d1-49ca-aae1-adbe86318e11_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
0519f16c-d7a4-4f1c-ab1c-4b7eaef47115_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1b8de16-8c09-4acf-aa32-62a6b1d88ad4_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,R
9d1244ad-434b-4f85-ad58-d3c64a25f0a4_MALDI1,Streptococcus anginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
34287bc0-9c9e-4e40-b751-56aac862af75_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f97cbcf-0cfb-4519-9656-f20707812649_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,R
86ab55aa-e459-450a-9bb9-4d524697a00b_MALDI1,Streptococcus dysgalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1b0d8e7-d614-455b-8b4a-1206681ee1e1_MALDI1,Streptococcus dysgalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
16abd929-0aa1-4034-a3d5-04558c739a04_MALDI1,Enterobacter cloacae,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
2a988ede-2c41-4a2f-b445-6c90062699a5_MALDI1,Streptococcus dysgalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7426aaa8-9f12-4dbd-8aa4-d8f6e4753968_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ceb1978-9d81-46ee-9979-19de620ac8b4_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,S,S,S,-,-,-,-,-,S,-,S,S
d3a550e6-e9c5-4a72-bcb0-018092fd21c4_MALDI1,Enterobacter cloacae,S,-,-,-,-,-,R,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
d4faaf00-eb39-472d-b031-3bf139df11cb_MALDI1,Streptococcus oralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
c800c9da-758f-4d82-ad0b-6437c834f7bd_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
527e92f7-0bab-4dfd-b663-c6a2a9a95450_MALDI1,Streptococcus constellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
15f9616a-06aa-4732-ac90-99eee828c942_MALDI1,Corynebacterium propinquum,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3ad0840-45d2-4ff5-9502-d58c5eda17fa_MALDI1,Staphylococcus aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,
0214b1ea-7a77-48a8-a05b-dd40f86c1401_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
11466bf7-4336-4fb0-b36a-bfaf8a9a1a2b_MALDI1,Streptococcus agalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
7f127ba7-d57e-42ee-94ac-926dca311be6_MALDI1,Corynebacterium propinquum,,,,,,,,,,,,,,,,,,,,,,,,,,,
982ba9f1-b31e-41ef-8713-1af2fb31c3e6_MALDI1,Streptococcus dysgalactiae,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,R,S,-,-,-,-,-,-,-
0953af35-5557-4365-b188-cb6dc80f1d26_MALDI1,Streptococcus canis,,,,,,,,,,,,,,,,,,,,,,,,,,,
99184f51-a749-4ebb-b2b6-c74f4c179934_MALDI1,Streptococcus intermedius,,,,,,,,,,,,,,,,,,,,,,,,,,,
92cd0cae-503e-4a42-a8ba-bfa7fd822f89_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
3b5c83ea-67e5-4754-a0a3-cd53bc0d761d_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a69f118-a932-439c-b978-1a5d234c387c_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
093cd527-0286-40d0-8eba-757db00ca942_MALDI1,Lactobacillus jensenii,,,,,,,,,,,,,,,,,,,,,,,,,,,
52031285-a592-4859-93ad-8fb8652a9d73_MALDI1,Staphylococcus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
be9a616a-9326-44a5-a371-68847aaff8d6_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
4552ca3d-e2d6-488d-88eb-5f8cc4159e14_MALDI1,Streptococcus oralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
341183c5-21d1-4388-8e15-e0f78d9f7712_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,S,S,S,-,-,-,-,-,S,-,S,S
3e329a54-bc87-4d60-a326-d9b2f23af100_MALDI1,Proteus mirabilis,I,-,-,-,-,-,S,-,S,S,S,-,-,R,S,R,R,S,-,-,-,-,-,R,-,I,S
699ade4a-29f4-4818-9d29-1f505dae7bbf_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,S,S,S,-,-,-,-,-,S,-,S,S
384b0192-c87a-4960-9cfe-70b75189c645_MALDI1,Streptococcus dysgalactiae,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,R,S,-,-,-,-,-,-,-
dd22f64a-1501-469f-b89d-0f01e7b26ee9_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,I,I,-,-,R,S,R,R,I,-,-,-,R,-,S,-,I,S
4840c8b8-9a72-4788-8218-429ae7a6fb14_MALDI1,Kingella oralis,,,,,,,,,,,,,,,,,,,,,,,,,,,
15f5178f-5c40-4c3d-82ab-0bd0a2576772_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0219f3c-a0a2-4daa-bd0c-cf29185d2a6e_MALDI1,Streptococcus dysgalactiae,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-
b7cd80a3-c736-41fe-91bf-320e32fae566_MALDI1,Morganella morganii,I,-,-,-,-,-,R,-,S,S,S,-,S,S,S,R,S,S,-,-,-,R,R,R,-,S,S
26b44d5c-72f5-4a12-b129-c6a952db0383_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
fd7da2ee-6cd9-4e91-8616-97f5f12e6c51_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ef162d9-43ac-42a9-a0b3-cc628c4cae78_MALDI1,Corynebacterium tuberculostearicum,,,,,,,,,,,,,,,,,,,,,,,,,,,
230399dc-2bf0-44f9-b8ba-2bed31d1fb39_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3afe1ad0-57a8-42ac-af45-cd8e99d72217_MALDI1,Chryseobacterium oranimense,,,,,,,,,,,,,,,,,,,,,,,,,,,
524ec739-29eb-492b-a875-c63f7a6f3e83_MALDI1,Candida dubliniensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03686bd4-00fb-4371-b580-23116c6add2c_MALDI1,Candida dubliniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,
982aa85f-4782-48aa-b59b-3d8c5578a5d8_MALDI1,Candida dubliniensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2245096a-95e0-4bbf-91c1-26c157f6da95_MALDI1,Candida dubliniensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6a4173dd-a0fe-4c98-915f-7db68d18b099_MALDI1,Haemophilus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a03fca5-e14e-46dd-bc7c-2e7ef353fb78_MALDI1,Candida glabrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f04bd1d-5906-49d7-bf5b-9186c3c29bdb_MALDI1,Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
567868d2-0d54-42cc-bc61-83d917ab5180_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc076b4f-2c1e-4260-be9a-2675511e7809_MALDI1,Staphylococcus hominis,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8ce8616-52be-4a43-bc2b-b6a725d15c9f_MALDI1,Neisseria meningitidis,,,,,,,,,,,,,,,,,,,,,,,,,,,
a96cddab-152f-4400-a4c5-de99b0e1da78_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc9809da-25b7-484c-98e5-8c8670a3d69a_MALDI1,Staphylococcus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff6a97c5-49f0-41b7-8f07-a14bcceb8d93_MALDI1,Burkholderia vietnamiensis,-,-,-,-,-,-,-,-,S,-,S,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,-
b1a7c7e8-0c9f-4045-a36f-726e77a98227_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,R,-,-,-,-,-,S,-,S,S
6866fd8b-5861-44bf-8ca7-d4f94d81b87b_MALDI1,Burkholderia vietnamiensis,-,-,-,-,-,-,-,-,S,-,S,-,-,S,-,-,-,S,-,-,-,-,-,-,-,-,-
741b8a48-1573-4b25-b2e3-e9547237d1da_MALDI1,Streptococcus anginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ec7fca5-5fee-4da5-879d-5bd9e6d93ac7_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3f829fa-cddc-40d1-9811-b55ed5d19cab_MALDI1,Haemophilus parainfluenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4917a83-1855-495d-9b05-e1a84cc360d2_MALDI1,Streptococcus gallolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ad606b5-fc73-4c4a-895c-52b0cbf4d37c_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
b477f7ff-4c63-4b23-9e61-c3b395241773_MALDI1,Staphylococcus cohnii,,,,,,,,,,,,,,,,,,,,,,,,,,,
9775f606-c742-45f0-bd97-1d28f27e6fe6_MALDI1,Streptococcus constellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fc3ba0e-b595-449b-8e4a-b985c43b4f3b_MALDI1,Staphylococcus epidermidis,R,S,R,S,R,S,R,R,R,S,-,-,-,S,-,R,R,-,R,R,R,-,-,-,R,R,R
9ef5cc6c-78bb-4a5e-a512-c8196dc6f8d6_MALDI1,Streptococcus constellatus,,,,,,,,,,,,,,,,,,,,,,,,,,,
468c4f9e-6d3c-4782-b202-6150aae071ea_MALDI1,Micrococcus luteus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,S,-,-
94889613-949c-4b88-8608-df7795a71f86_MALDI1,Micrococcus luteus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,S,-,-,-,-,S,-,-
cf4801f6-6bf2-40f0-b038-5974e15c46a2_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ca0d6b9-a9ab-4ada-913e-e6d4a9556fbb_MALDI1,Candida glabrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0aef0d4-090c-4f9e-a757-ff567b3c55f9_MALDI1,Candida glabrata,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c58216c-433a-4311-8041-10da435f90ef_MALDI1,Anaerococcus hydrogenalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
39d3b1f1-eeba-4bdd-ad0e-4a1f3e7ca17d_MALDI1,Anaerococcus hydrogenalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
20a2990f-b393-4425-9ec9-f39d9b92bf93_MALDI1,Streptococcus agalactiae,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,S,S,-,-,-,-,-,-,-
3724423b-ef8e-425b-aec4-23ecf08ae628_MALDI1,Actinomyces naeslundii,,,,,,,,,,,,,,,,,,,,,,,,,,,
9eaeae96-502c-44b2-ab17-34adc1b202cb_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
5adf5e73-25a5-44c8-9c09-034ad24ec2e1_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a87c3f1-5751-4b55-9c65-422141a023b2_MALDI1,Propionibacterium acnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10fbc5bd-46b4-47d0-8b72-5f065d2dc64d_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
76a3875b-d783-4e1d-98e9-9b266ff83a4a_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
19d86233-124e-4567-90e3-86cd76789c38_MALDI1,Actinomyces europaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf734517-9122-4f70-a57e-0463ce398119_MALDI1,Pseudomonas aeruginosa,R,-,-,-,-,-,-,-,R,S,S,-,-,-,S,-,-,R,-,-,-,-,-,S,-,R,R
aa0054bf-9499-45b7-aa48-cf36689b5594_MALDI1,Staphylococcus gallinarum,,,,,,,,,,,,,,,,,,,,,,,,,,,
37b12ce7-f970-40a5-a8ab-3a42cd8c29f6_MALDI1,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc069e13-b3ba-4387-9b89-c2ef83ddaf24_MALDI1,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3dbeddb-5568-4022-9775-4e54fd2b35ce_MALDI1,Streptococcus pyogenes,,,,,,,,,,,,,,,,,,,,,,,,,,,
236fa340-a9ba-437b-8ae4-342c1168a76e_MALDI1,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
e18ac106-5340-42df-b675-de688a452e8e_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
e16ee608-9234-48a4-b578-b818686161e9_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
1a1436b6-f059-4020-a26c-13f546c9947c_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,S,S,S,-,-,-,-,-,S,-,S,S
7ab401e6-925d-4224-aa16-03951897aacf_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
38a0391d-61ff-4048-bc66-69e042a88405_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
038aed86-ce17-45bd-9464-02311227735c_MALDI1,Escherichia coli,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,S,S,S,-,-,-,-,-,S,-,S,S
59c14d56-9c14-4f4a-ace6-e31680351399_MALDI1,Actinomyces odontolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
875a06fc-cea0-403d-91bf-c71a774ca1fd_MALDI1,Solobacterium moorei,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1349b24-57a0-4e13-a610-48a41d8c1e23_MALDI1,Enterococcus faecalis,S,-,-,-,-,-,-,-,-,-,S,S,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-
174b3671-eaa7-4253-9f81-9325d631d8ac_MALDI1,Actinotignum schaalii,,,,,,,,,,,,,,,,,,,,,,,,,,,
66956793-9d39-4e8c-986f-040661b4b6c0_MALDI1,Streptococcus agalactiae,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7740bec-f3e6-4449-bc91-ebb31f058a24_MALDI1,Corynebacterium propinquum,,,,,,,,,,,,,,,,,,,,,,,,,,,
346dff88-c87a-443d-88fc-32e7b7b30b39_MALDI1,Candida albicans,,,,,,,,,,,,,,,,,,,,,,,,,,,
046f3cdd-3c4f-41e4-8182-e94bf9207495_MALDI1,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b165452-2f6b-4ead-8e5e-c11be864e077_MALDI1,Staphylococcus aureus,S,R,S,S,S,S,S,S,S,I,-,S,-,S,-,S,S,-,S,S,S,-,-,-,S,S,S
dbd8d452-0d76-4466-a966-dbe1e25909ff_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
541ec788-3874-4913-809c-ca67c3f1eaea_MALDI1,Acinetobacter baumannii,R,-,-,-,-,-,-,-,R,R,R,-,-,R,R,-,R,R,-,-,-,-,-,S,-,R,R
195a5836-319d-4930-9708-77194b373be8_MALDI1,Staphylococcus haemolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a0ce501-0059-4870-8f1c-b007a8a646ec_MALDI1,Pseudomonas aeruginosa,S,-,-,-,-,-,-,-,S,S,S,-,-,-,S,-,-,S,-,-,-,-,-,S,-,S,S
77fa7376-83d9-4088-8108-c8713f06040c_MALDI1,Streptococcus anginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba356bed-0ea9-448f-805d-0b56d94490fe_MALDI1,Staphylococcus aureus,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
d903c630-fed1-4efc-a411-87931ebd4cb9_MALDI1,Klebsiella pneumoniae,S,-,-,-,-,-,S,-,S,S,S,-,-,S,S,R,S,S,-,-,-,-,-,S,-,S,S
b3d5cc05-2c7d-48ed-bce8-0c5271ef69e7_MALDI1,Staphylococcus aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dd8d0f1-5a36-40c9-bda0-92f28ae0d815_MALDI1,Haemophilus influenzae,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,R,-,-,-,-,-,-
2da8679a-bdff-4c0a-b8fa-202dd8c13607_MALDI1,Elizabethkingia meningoseptica,,,,,,,,,,,,,,,,,,,,,,,,,,,
0db1e42b-c397-4015-afde-5b0d03f1c75d_MALDI1,Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e944fea-2762-4568-ad5a-6c00be2092b5_MALDI1,Staphylococcus epidermidis,S,S,S,S,S,S,S,S,S,S,-,S,-,S,-,R,S,-,S,R,S,-,-,-,S,S,S
