params,mean_test_score,std_test_score
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.1}",0.12674651916433174,0.0007589440314532394
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.5}",0.03426880219932683,8.294843079250054e-05
"{'elastic_net__alpha': 0.1, 'elastic_net__l1_ratio': 0.9}",0.01568031534646145,0.0001584140903878368
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.1}",0.01156421990789671,3.8710598797117976e-05
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.5}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 1, 'elastic_net__l1_ratio': 0.9}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.1}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.5}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 10, 'elastic_net__l1_ratio': 0.9}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.1}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.5}",-0.00017286436305888366,1.0270354801535567e-05
"{'elastic_net__alpha': 100, 'elastic_net__l1_ratio': 0.9}",-0.00017286436305888366,1.0270354801535567e-05
