code,species,Imipenem,Gentamicin,Oxacillin,Fusidic acid,Tetracycline,Rifampicin,Amoxicillin-Clavulanic acid,Cefazolin,Meropenem,Ciprofloxacin,Levofloxacin,Teicoplanin,Norfloxacin,Cotrimoxazole,Tobramycin,Ampicillin-Amoxicillin,Ceftriaxone,Ceftazidime,Clindamycin,Penicillin,Cefuroxime,Cefpodoxime,Fosfomycin-Trometamol,Colistin,Erythromycin,Cefepime,Piperacillin-Tazobactam
631fc7e3-350e-40b9-93bd-3e648f18cae6_MALDI1,MIX!Aeromonas veronii,,,,,,,,,,,,,,,,,,,,,,,,,,,
e51ad265-6488-442d-a688-cf52a1f75958_MALDI1,MIX!Enterobacter kobei,,,,,,,,,,,,,,,,,,,,,,,,,,,
b819dbc2-0fa8-4595-aed1-8b522c52bdc2_MALDI1,MIX!Lactobacillus iners,,,,,,,,,,,,,,,,,,,,,,,,,,,
21f0c8a0-4ca9-49b3-b277-d1dcfe23c69f_MALDI1,MIX!Achromobacter insolitus,-,-,-,-,-,-,-,-,S,S,-,-,-,R,-,-,-,-,-,-,-,-,-,-,-,R,S
3246d994-ced5-41ce-a01b-1c853e651efc_MALDI1,MIX!Neisseria macacae,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4d5d08f-97b6-4c8f-973c-4553a8c49b5d_MALDI1,MIX!Haemophilus influenzae,,,,,,,,,,,,,,,,,,,,,,,,,,,
af1b48c7-4040-4454-a430-28acbcd8ae7a_MALDI1,MIX!Neisseria mucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c7214af-2b34-49c4-b174-2d7c917458e2_MALDI1,MIX!Enterococcus faecalis,,,,,,,,,,,,,,,,,,,,,,,,,,,
419abe97-0c6b-4e3f-aaa1-845f0375a883_MALDI1,MIX!Enterococcus faecium,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4da0853-c6b3-49de-8b07-3d01e89ee215_MALDI1,MIX!Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,
7c02b88a-8c0a-4f7e-ae09-87cd61feaffd_MALDI1,MIX!Aeromonas hydrophila,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f6604ba-0779-40b5-91c9-b326f600071d_MALDI1,MIX!Haemophilus pittmaniae,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe61ad57-3e22-44dd-9074-db8c78a9654b_MALDI1,MIX!Neisseria subflava,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbf6f320-5f08-4846-9672-9b106e06b94d_MALDI1,MIX!Neisseria subflava,,,,,,,,,,,,,,,,,,,,,,,,,,,
