int,mass
-0.45085308874249225,2000
-0.45013179707681455,2000.5
-0.4447895964113336,2001
-0.4366211239309133,2001.5
-0.4281490471693744,2002
-0.4206209876847228,2002.5
-0.4172261648080314,2003
-0.4185289568960212,2003.5
-0.42270791010472836,2004
-0.42981417350964396,2004.5
-0.43775643023169747,2005
-0.445040457972859,2005.5
-0.44998483798101846,2006
-0.4514572077825643,2006.5
-0.4487910268843662,2007
-0.4407812228411682,2007.5
-0.4306014661746918,2008
-0.4193894727814905,2008.5
-0.4095943991336087,2009
-0.40470414830543755,2009.5
-0.4038491094451618,2010
-0.4068538538066124,2010.5
-0.4133428912045344,2011
-0.42114741743623824,2011.5
-0.429205988387477,2012
-0.43615381563307803,2012.5
-0.4410380157318707,2013
-0.4451504097247355,2013.5
-0.44902819022992585,2014
-0.45360897268614936,2014.5
-0.4594781713790312,2015
-0.46560478463924243,2015.5
-0.4714484862028805,2016
-0.4764760954348062,2016.5
-0.47997734217002636,2017
-0.48284069839245847,2017.5
-0.4861902060305101,2018
-0.4892469935448021,2018.5
-0.4918961199180579,2019
-0.4936380058072412,2019.5
-0.4928109678085817,2020
-0.4905429228263266,2020.5
-0.4881848427594645,2021
-0.4861911198646598,2021.5
-0.4846883964591792,2022
-0.4832075170081134,2022.5
-0.48016416298163217,2023
-0.4748206574960605,2023.5
-0.4662512298176874,2024
-0.45405812379338617,2024.5
-0.44198319161105554,2025
-0.43156950388665377,2025.5
-0.4237894331401238,2026
-0.4196563921231781,2026.5
-0.4187462654125968,2027
-0.4215225265310664,2027.5
-0.42686540032321896,2028
-0.4326665665489821,2028.5
-0.4384558775961468,2029
-0.4438815204462132,2029.5
-0.4482096523093244,2030
-0.45008401749322724,2030.5
-0.4492127115981532,2031
-0.44548137347475786,2031.5
-0.4374710589865144,2032
-0.4289409044150394,2032.5
-0.4211766462036469,2033
-0.41496282622751984,2033.5
-0.4123987744631062,2034
-0.4152969283325383,2034.5
-0.42237849647763065,2035
-0.43287614432022825,2035.5
-0.4434461554899715,2036
-0.45245900968160335,2036.5
-0.4593183812595829,2037
-0.4633175848437027,2037.5
-0.46413303122426897,2038
-0.461247046952915,2038.5
-0.4548919335516151,2039
-0.44582582443277813,2039.5
-0.4345822049559378,2040
-0.42140399831507125,2040.5
-0.40709476090323987,2041
-0.39393303520786216,2041.5
-0.38310355368243865,2042
-0.37611503264934243,2042.5
-0.3741431977876103,2043
-0.37732920902954387,2043.5
-0.38576040162774805,2044
-0.3968337191375509,2044.5
-0.4096211478849292,2045
-0.4223337756431666,2045.5
-0.4332537452859274,2046
-0.441430072822171,2046.5
-0.4462993394859233,2047
-0.44608230773284796,2047.5
-0.43894948653156585,2048
-0.42288212051860435,2048.5
-0.39451261641430224,2049
-0.3502541660547866,2049.5
-0.3054120719077178,2050
-0.2619451579017075,2050.5
-0.22539810796029106,2051
-0.20469561161511735,2051.5
-0.20606566328187229,2052
-0.2236198756344054,2052.5
-0.25374439061418924,2053
-0.28729078296459853,2053.5
-0.31954650643183447,2054
-0.349359962773355,2054.5
-0.3752416572342916,2055
-0.39363749074474047,2055.5
-0.4019062085980385,2056
-0.3999191366503668,2056.5
-0.38647281075868734,2057
-0.368180111740815,2057.5
-0.3492514821459028,2058
-0.33321822843135673,2058.5
-0.32521255640307595,2059
-0.32504231216105844,2059.5
-0.33146855770226685,2060
-0.34466895986255336,2060.5
-0.36020365278157634,2061
-0.3759307172524372,2061.5
-0.3902926181305043,2062
-0.401792167310109,2062.5
-0.4103368502441902,2063
-0.4151712280762684,2063.5
-0.4186269747928318,2064
-0.4219478386663627,2064.5
-0.4254416875800225,2065
-0.4293440519409029,2065.5
-0.4326020337856102,2066
-0.43441537281445874,2066.5
-0.43469416216655354,2067
-0.43280680492816415,2067.5
-0.4273518954840886,2068
-0.4196072035230177,2068.5
-0.4112720559880179,2069
-0.4030870202274058,2069.5
-0.39535886622775696,2070
-0.3883055123049699,2070.5
-0.3820496924813304,2071
-0.37699697822251604,2071.5
-0.3726639613175393,2072
-0.3685230649606251,2072.5
-0.3654373197869202,2073
-0.3640100229422841,2073.5
-0.36355988376693954,2074
-0.36267807124774115,2074.5
-0.36316215217392145,2075
-0.36630586750699956,2075.5
-0.3726123260872149,2076
-0.3827231867055565,2076.5
-0.39542543857875306,2077
-0.4084635443111485,2077.5
-0.42095768956783797,2078
-0.42896671329429437,2078.5
-0.43008107235487725,2079
-0.4221863215213755,2079.5
-0.40317566500700425,2080
-0.37570213340912556,2080.5
-0.3403174896529145,2081
-0.3056776904465926,2081.5
-0.27705117934316215,2082
-0.2579139434852943,2082.5
-0.2519622389619667,2083
-0.2562357729130178,2083.5
-0.2674054815809781,2084
-0.28387836180606835,2084.5
-0.30220317874484315,2085
-0.32062128569572856,2085.5
-0.3372409052064374,2086
-0.35011278596064394,2086.5
-0.36022849689014674,2087
-0.3680072323533677,2087.5
-0.37398760801696307,2088
-0.37842154059100125,2088.5
-0.38179668937582767,2089
-0.38459804329342323,2089.5
-0.3871466434317402,2090
-0.38968313656076153,2090.5
-0.39265979391776107,2091
-0.3971190383183429,2091.5
-0.4025569666323759,2092
-0.40726165546027754,2092.5
-0.4105753340336903,2093
-0.41241574785457774,2093.5
-0.41263880880106096,2094
-0.4122730247838219,2094.5
-0.41152633663021115,2095
-0.41081750290636515,2095.5
-0.41205176194928983,2096
-0.40964551401333665,2096.5
-0.4000339543392756,2097
-0.38136331670700974,2097.5
-0.35092771545499674,2098
-0.3137758802465735,2098.5
-0.27771322422701145,2099
-0.246516861795103,2099.5
-0.22797633184417146,2100
-0.22577526102961806,2100.5
-0.23391407403223163,2101
-0.25481949897168227,2101.5
-0.28246345787609217,2102
-0.31024137331446816,2102.5
-0.3357551805555734,2103
-0.357988364766794,2103.5
-0.374368809910138,2104
-0.38550143235463635,2104.5
-0.39246444019269566,2105
-0.39701767795088455,2105.5
-0.4005823974738845,2106
-0.4041419226296273,2106.5
-0.40893082768961214,2107
-0.41468041864979516,2107.5
-0.41987823387254086,2108
-0.42414173808255806,2108.5
-0.4268812298871637,2109
-0.4275717372446557,2109.5
-0.4279849940386018,2110
-0.4290298980835578,2110.5
-0.4300187768310285,2111
-0.430173144029264,2111.5
-0.42951056763092593,2112
-0.4279336138149066,2112.5
-0.42539219276704426,2113
-0.421814879192652,2113.5
-0.4175123905679563,2114
-0.4130665534199488,2114.5
-0.4089952991133352,2115
-0.40610587716384405,2115.5
-0.40473681150054863,2116
-0.40596921345248976,2116.5
-0.41098540122455285,2117
-0.4181289374970081,2117.5
-0.4262253447871827,2118
-0.4330219938337101,2118.5
-0.4364905073221379,2119
-0.4356768994470825,2119.5
-0.4325224766777587,2120
-0.42635707999289724,2120.5
-0.41869694602193797,2121
-0.4110565197774599,2121.5
-0.40447157896200336,2122
-0.4009745219890402,2122.5
-0.4011609682081058,2123
-0.404146523346736,2123.5
-0.41021382277026874,2124
-0.41738555380366316,2124.5
-0.4241928841576836,2125
-0.4293624025006123,2125.5
-0.4316487256026484,2126
-0.4311626059415448,2126.5
-0.4285052665589381,2127
-0.4247056717901678,2127.5
-0.42081282492284977,2128
-0.4176728692995861,2128.5
-0.4163852810299961,2129
-0.41716619563113744,2129.5
-0.4190493129727067,2130
-0.4219668775210044,2130.5
-0.42572211259002923,2131
-0.430384698524306,2131.5
-0.43360942676119374,2132
-0.4343043979728112,2132.5
-0.4309487743206097,2133
-0.42104125199145015,2133.5
-0.4071506443628516,2134
-0.3917484783938753,2134.5
-0.3761400992607416,2135
-0.3645117836703629,2135.5
-0.35842337958119225,2136
-0.35672957308652065,2136.5
-0.36127676839791173,2137
-0.36953368847671625,2137.5
-0.3791961865853155,2138
-0.38954163440806777,2138.5
-0.39993355270326114,2139
-0.40986560889275486,2139.5
-0.4181283284897608,2140
-0.42274569521913546,2140.5
-0.42529530850751296,2141
-0.4269581756333705,2141.5
-0.42813278824907786,2142
-0.42915822707345386,2142.5
-0.4301608345749872,2143
-0.4310072405066248,2143.5
-0.431765769096592,2144
-0.4317984480437098,2144.5
-0.4303730425386031,2145
-0.42964604501933484,2145.5
-0.430843067603765,2146
-0.4336358885945877,2146.5
-0.43716034037986734,2147
-0.44097422295716987,2147.5
-0.4447239480893524,2148
-0.4481309082644327,2148.5
-0.4500513596192809,2149
-0.4500399479112099,2149.5
-0.4484072885265344,2150
-0.4452938074613389,2150.5
-0.44097621629006883,2151
-0.4354696069279863,2151.5
-0.42857791151032143,2152
-0.420249918308662,2152.5
-0.41111260319994936,2153
-0.40171213118804633,2153.5
-0.39264353452184136,2154
-0.38454302182147937,2154.5
-0.37808917962564104,2155
-0.37481063197976766,2155.5
-0.37529291100357764,2156
-0.37823651820813764,2156.5
-0.3834417396151623,2157
-0.38982543658954694,2157.5
-0.39691875558740514,2158
-0.4022492318914179,2158.5
-0.40404622659681727,2159
-0.4015407791433162,2159.5
-0.3945110304397844,2160
-0.38448316381883085,2160.5
-0.37421678219906324,2161
-0.36501583820629036,2161.5
-0.35883341202879976,2162
-0.35701617895887333,2162.5
-0.35854287359361847,2163
-0.36379065851778686,2163.5
-0.37131437467278733,2164
-0.3794292109244384,2164.5
-0.38781957795033795,2165
-0.39618110855064975,2165.5
-0.403616169770127,2166
-0.40885465230504714,2166.5
-0.41180630657712003,2167
-0.41319219634615406,2167.5
-0.41288663683248356,2168
-0.4114059517795669,2168.5
-0.4092549887666034,2169
-0.4052509563642284,2169.5
-0.3990774394119293,2170
-0.39048224338569243,2170.5
-0.3779707341406393,2171
-0.3642426383901324,2171.5
-0.35238293775087737,2172
-0.3438939766445925,2172.5
-0.337942272704037,2173
-0.3351171795818313,2173.5
-0.3354313963724154,2174
-0.33790805462961176,2174.5
-0.3421688304130268,2175
-0.34845721441803384,2175.5
-0.3580870971961137,2176
-0.3622698372812505,2176.5
-0.35693053954303194,2177
-0.33859208647089695,2177.5
-0.3006202084604266,2178
-0.2519467456722104,2178.5
-0.20271984228831222,2179
-0.15810006282792044,2179.5
-0.1290083726406383,2180
-0.1207212772897583,2180.5
-0.12722002780342323,2181
-0.14954785274306043,2181.5
-0.18095272084792255,2182
-0.21479947206470576,2182.5
-0.2489549903908388,2183
-0.28119030313158655,2183.5
-0.3091975143726813,2184
-0.3326895868312043,2184.5
-0.3513536932983213,2185
-0.3648256890251742,2185.5
-0.37231677368660254,2186
-0.37517563391572584,2186.5
-0.3739736365308058,2187
-0.3711754863483526,2187.5
-0.36828927648477017,2188
-0.3664178902103105,2188.5
-0.36642879995030747,2189
-0.3677076711211843,2189.5
-0.3696848619008529,2190
-0.3724924944581283,2190.5
